season,attendance,type,metric,team,lower,upper
2026,70233.46138275445,forecast,home_avg,Carolina,68670.57514424055,71796.34762126836
2027,69978.69147108955,forecast,home_avg,Carolina,68064.55456590114,71892.82837627796
2028,69723.92155942463,forecast,home_avg,Carolina,67513.66664447199,71934.17647437728
2029,69469.15164775972,forecast,home_avg,Carolina,66998.01152904115,71940.29176647829
2006,70728.0,historical,road_avg,Carolina,,
2007,67441.0,historical,road_avg,Carolina,,
2008,65704.0,historical,road_avg,Carolina,,
2009,72038.0,historical,road_avg,Carolina,,
2010,62992.0,historical,road_avg,Carolina,,
2011,65030.0,historical,road_avg,Carolina,,
2012,65263.0,historical,road_avg,Carolina,,
2013,65585.0,historical,road_avg,Carolina,,
2014,66806.0,historical,road_avg,Carolina,,
2015,70654.0,historical,road_avg,Carolina,,
2016,69032.0,historical,road_avg,Carolina,,
2017,68127.0,historical,road_avg,Carolina,,
2018,64071.0,historical,road_avg,Carolina,,
2019,68071.0,historical,road_avg,Carolina,,
2020,7536.0,historical,road_avg,Carolina,,
2021,69654.0,historical,road_avg,Carolina,,
2022,69905.0,historical,road_avg,Carolina,,
2023,65646.0,historical,road_avg,Carolina,,
2024,66892.0,historical,road_avg,Carolina,,
2025,67249.61168839376,forecast,road_avg,Carolina,62240.25277049649,72258.97060629104
2026,67216.0536190327,forecast,road_avg,Carolina,60131.75029854776,74300.35693951763
2027,67182.49554967164,forecast,road_avg,Carolina,58506.03139052531,75858.95970881797
2028,67148.93748031057,forecast,road_avg,Carolina,57130.21964451602,77167.65531610513
2029,67115.37941094952,forecast,road_avg,Carolina,55914.112346836424,78316.64647506262
2006,72242.0,historical,overall_avg,Carolina,,
2007,70422.0,historical,overall_avg,Carolina,,
2008,69457.0,historical,overall_avg,Carolina,,
2009,72664.0,historical,overall_avg,Carolina,,
2010,67806.0,historical,overall_avg,Carolina,,
2011,68661.0,historical,overall_avg,Carolina,,
2012,69278.0,historical,overall_avg,Carolina,,
2013,69514.0,historical,overall_avg,Carolina,,
2014,70207.0,historical,overall_avg,Carolina,,
2015,72355.0,historical,overall_avg,Carolina,,
2016,71571.0,historical,overall_avg,Carolina,,
2017,70872.0,historical,overall_avg,Carolina,,
2018,68922.0,historical,overall_avg,Carolina,,
2019,70145.0,historical,overall_avg,Carolina,,
2020,5478.0,historical,overall_avg,Carolina,,
2021,70714.0,historical,overall_avg,Carolina,,
2022,70671.0,historical,overall_avg,Carolina,,
2023,68465.0,historical,overall_avg,Carolina,,
2024,68862.0,historical,overall_avg,Carolina,,
2025,69639.45566456862,forecast,overall_avg,Carolina,66993.6080867543,72285.30324238294
2026,69585.19717930647,forecast,overall_avg,Carolina,65843.40365078946,73326.99070782348
2027,69530.93869404431,forecast,overall_avg,Carolina,64948.19626018686,74113.68112790176
2028,69476.68020878214,forecast,overall_avg,Carolina,64184.985053153505,74768.37536441078
2029,69422.42172351998,forecast,overall_avg,Carolina,63506.12668142399,75338.71676561596
2006,72334.0,historical,home_avg,Cleveland,,
2007,73000.0,historical,home_avg,Cleveland,,
2008,72778.0,historical,home_avg,Cleveland,,
2009,68888.0,historical,home_avg,Cleveland,,
2010,66116.0,historical,home_avg,Cleveland,,
2011,65859.0,historical,home_avg,Cleveland,,
2012,66632.0,historical,home_avg,Cleveland,,
2013,71242.0,historical,home_avg,Cleveland,,
2014,67425.0,historical,home_avg,Cleveland,,
2015,66186.0,historical,home_avg,Cleveland,,
2016,64311.0,historical,home_avg,Cleveland,,
2017,63882.0,historical,home_avg,Cleveland,,
2018,65765.0,historical,home_avg,Cleveland,,
2019,67431.0,historical,home_avg,Cleveland,,
2020,9811.0,historical,home_avg,Cleveland,,
2021,67431.0,historical,home_avg,Cleveland,,
2022,67431.0,historical,home_avg,Cleveland,,
2023,67810.0,historical,home_avg,Cleveland,,
2024,67726.0,historical,home_avg,Cleveland,,
2025,67448.83225167383,forecast,home_avg,Cleveland,63574.50664726627,71323.15785608138
2026,67172.61477588059,forecast,home_avg,Cleveland,61693.49096107809,72651.73859068309
2027,66896.39730008737,forecast,home_avg,Cleveland,60185.86850818849,73606.92609198624
2028,66620.17982429413,forecast,home_avg,Cleveland,58871.52861547902,74368.83103310924
2029,66343.96234850089,forecast,home_avg,Cleveland,57680.70693007765,75007.21776692414
2006,67449.0,historical,road_avg,Cleveland,,
2007,67857.0,historical,road_avg,Cleveland,,
2008,70674.0,historical,road_avg,Cleveland,,
2009,62888.0,historical,road_avg,Cleveland,,
2010,61121.0,historical,road_avg,Cleveland,,
2011,63014.0,historical,road_avg,Cleveland,,
2012,66526.0,historical,road_avg,Cleveland,,
2013,69101.0,historical,road_avg,Cleveland,,
2014,68056.0,historical,road_avg,Cleveland,,
2015,66596.0,historical,road_avg,Cleveland,,
2016,66292.0,historical,road_avg,Cleveland,,
2017,57118.0,historical,road_avg,Cleveland,,
2018,64914.0,historical,road_avg,Cleveland,,
2019,66959.0,historical,road_avg,Cleveland,,
2020,11654.0,historical,road_avg,Cleveland,,
2021,69140.0,historical,road_avg,Cleveland,,
2022,64377.0,historical,road_avg,Cleveland,,
2023,70378.0,historical,road_avg,Cleveland,,
2024,65874.0,historical,road_avg,Cleveland,,
2025,66194.66634061429,forecast,road_avg,Cleveland,59692.24915088229,72697.08353034628
2026,66186.53063661815,forecast,road_avg,Cleveland,56990.72405869121,75382.33721454508
2027,66178.39493262199,forecast,road_avg,Cleveland,54915.87798799694,77440.91187724704
2028,66170.25922862583,forecast,road_avg,Cleveland,53165.42484916184,79175.09360808982
2029,66162.12352462969,forecast,road_avg,Cleveland,51622.276670325795,80701.97037893358
2006,70054.0,historical,overall_avg,Cleveland,,
2007,70600.0,historical,overall_avg,Cleveland,,
2008,71726.0,historical,overall_avg,Cleveland,,
2009,65888.0,historical,overall_avg,Cleveland,,
2010,63619.0,historical,overall_avg,Cleveland,,
2011,64437.0,historical,overall_avg,Cleveland,,
2012,66579.0,historical,overall_avg,Cleveland,,
2013,70171.0,historical,overall_avg,Cleveland,,
2014,67740.0,historical,overall_avg,Cleveland,,
2015,66391.0,historical,overall_avg,Cleveland,,
2016,65301.0,historical,overall_avg,Cleveland,,
2017,60500.0,historical,overall_avg,Cleveland,,
2018,65340.0,historical,overall_avg,Cleveland,,
2019,67195.0,historical,overall_avg,Cleveland,,
2020,10662.0,historical,overall_avg,Cleveland,,
2021,68235.0,historical,overall_avg,Cleveland,,
2022,65814.0,historical,overall_avg,Cleveland,,
2023,68934.0,historical,overall_avg,Cleveland,,
2024,66745.0,historical,overall_avg,Cleveland,,
2025,66615.50869621766,forecast,overall_avg,Cleveland,61212.288308843315,72018.729083592
2026,66265.13824565535,forecast,overall_avg,Cleveland,58623.83069333975,73906.44579797096
2027,65914.76779509305,forecast,overall_avg,Cleveland,56556.115559668695,75273.4200305174
2028,65564.39734453075,forecast,overall_avg,Cleveland,54757.95656978206,76370.83811927943
2029,65214.026893968454,forecast,overall_avg,Cleveland,53132.058810386676,77295.99497755023
2006,70818.0,historical,home_avg,Baltimore,,
2007,71153.0,historical,home_avg,Baltimore,,
2008,71269.0,historical,home_avg,Baltimore,,
2009,71082.0,historical,home_avg,Baltimore,,
2010,71227.0,historical,home_avg,Baltimore,,
